index,tag
0,central_air
1,community_outdoor_space
2,dishwasher
3,forced_air
4,laundry_room
5,washer_dryer
6,single_story
7,garage_1_or_more
8,rental_property
9,ensuite
10,park
11,basement
12,dining_room
13,family_room
14,fireplace
15,garage_2_or_more
16,hardwood_floors
17,ocean_view
18,recreation_facilities
19,rv_or_boat_parking
20,view
21,water_view
22,community_boat_facilities
23,community_golf
24,community_security_features
25,den_or_office
26,energy_efficient
27,golf_course_lot_or_frontage
28,golf_course_view
29,pets_allowed
30,garage_3_or_more
31,gourmet_kitchen
32,high_ceiling
33,wine_cellar
34,gated_community
35,clubhouse
36,golf_course
37,views
38,groundscare
39,security
40,central_heat
41,city_view
42,two_or_more_stories
43,solar_system
44,solar_panels
45,trails
46,shopping
47,updated_kitchen
48,big_yard
49,community_swimming_pool
50,vaulted_ceiling
51,floor_plan
52,dual_master_bedroom
53,master_bedroom
54,disability_features
55,fenced_yard
56,corner_lot
57,big_lot
58,open_floor_plan
59,carport
60,hill_or_mountain_view
61,basketball_court
62,low_hoa
63,playground
64,basketball
65,hoa
66,community_clubhouse
67,swimming_pool
68,modern_kitchen
69,large_kitchen
70,farm
71,ranch
72,spa_or_hot_tub
73,greenbelt
74,lake_view
75,waterfront
76,new_roof
77,community_gym
78,community_tennis_court
79,cul_de_sac
80,game_room
81,tennis_court
82,granite_kitchen
83,lake
84,horse_stables
85,equestrian
86,cathedral_ceiling
87,fruit_trees
88,master_suite
89,horse_facilities
90,mountain_view
91,private_backyard
92,no_hoa
93,front_porch
94,investment_opportunity
95,open_house
96,fixer_upper
97,open_kitchen
98,rv_parking
99,kitchen_island
100,maintenance
101,medicalcare
102,private_parking
103,efficient
104,lease_option
105,senior_community
106,guest_parking
107,library
108,elevator
109,community_spa_or_hot_tub
110,new_construction
111,theater_room
112,beautiful_backyard
113,two_master_suites
114,guest_house
115,beach
116,tennis
117,handicap_access
118,master_bathroom
119,volleyball
120,community_horse_facilities
121,community_elevator
122,big_bathroom
123,white_kitchen
124,private_bathroom
125,pond
126,outdoor_kitchen
127,furniture
128,wooded_land
129,large_porch
130,marina
131,coffer_ceiling
132,first_floor_master_bedroom
133,community_park
134,jack_and_jill_bathroom
135,smart_homes
136,exposed_brick
137,river_view
138,las_vegas_strip_view
139,community_doorman
140,in_law_unit
141,boat_dock
142,private_courtyard
143,community_center
144,soccer
145,dog_kennel
146,baseball
147,well_water
148,horse_property
149,media_room
150,two_kitchen
151,fenced_courtyard
152,detached_guest_house
153,greenhouse
154,courtyard_entry
155,wrap_around_porch
156,courtyard_style
157,mount_rainier_view
158,outbuilding
159,recording_studio
160,kosher_diner
161,furnished
162,river_access
163,screen_porch
164,indoor_basketball_court
165,hidden_room
166,storm_shelter
167,runway
